search_role,job_title,company_name,experience,location,skills,posted_date,job_link
Data Scientist,Data Scientist,PayU,0-3 yrs,Gurugram,"Usage, Statistical analysis, Analytical, Focus, Programming, Data mining, Business understanding, Analytics",3 days ago,https://www.naukri.com/job-listings-data-scientist-payu-india-gurugram-0-to-3-years-300326502718
Data Scientist,Data Scientist,Paytm,1-3 yrs,Gurugram,"data scientist, algorithms, python, scala, data processing, machine learning, cloud platform, cloud",2 days ago,https://www.naukri.com/job-listings-data-scientist-one97-communications-limited-gurugram-1-to-3-years-310326918257
Data Scientist,Data Scientist,Siemens,10-15 yrs,Bengaluru,"data scientist, time series analysis, snowflake, python, github, project management, ai, databricks",6 days ago,https://www.naukri.com/job-listings-data-scientist-siemens-limited-bengaluru-10-to-15-years-270326915025
Data Scientist,Data Scientist - Service Parts Supply Chain,Philips,10-15 yrs,Bengaluru,"Supply chain, Supply chain management, ERP, Performance management, Project management, Process improvement, Business analytics, Healthcare",1 day ago,https://www.naukri.com/job-listings-data-scientist-service-parts-supply-chain-philips-india-limited-bengaluru-10-to-15-years-020426508504
Data Scientist,Data Scientist,Narayana Health (NH),1-3 yrs,Hybrid - Bengaluru,"Tensorflow, Machine Learning, Python, Artificial Intelligence, Deep Learning, SQL, Machine, Intelligence",1 day ago,https://www.naukri.com/job-listings-data-scientist-narayana-health-nh-bengaluru-1-to-3-years-010426015191
Data Scientist,Data Scientist,Infosys,10-14 yrs,Bengaluru,"data scientist, analytics, data science, machine learning, financial services, communication skills, Data, Machine",2 days ago,https://www.naukri.com/job-listings-data-scientist-infosys-limited-bengaluru-10-to-14-years-310326930987
Data Scientist,Data Scientist-Artificial Intelligence,IBM,10-15 yrs,Gurugram,"data scientist, operations, b2b, semiconductor, fabrication, design, manufacturing, mes",1 day ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-gurugram-10-to-15-years-020426929265
Data Analyst,Looking For immediate joiners - Lab Data Analyst-Python Programming,IQVIA,0-1 yrs,Hybrid - Bengaluru,"PYTHON PROGRAMMING, Pyspark, Logical Approach, Python Data Analytics, Python Data, PYTHON SCRIPTING, Numpy, Logic",1 day ago,https://www.naukri.com/job-listings-looking-for-immediate-joiners-lab-data-analyst-python-programming-iqvia-bengaluru-0-to-1-years-051125000118
Data Analyst,Data Analyst,Jindal Aluminium,0-2 yrs,Bengaluru,"Analytical skills, tableau, Excel, Database management, power bi, Data Analyst, Operations, Data warehousing",1 week ago,https://www.naukri.com/job-listings-data-analyst-jindal-aluminium-ltd-bengaluru-0-to-2-years-260326501248
Data Analyst,Data Analyst,MNC,0-2 yrs,"Pimpri-Chinchwad, Pune","Google Sheets, Power Bi, MS Office, SQL, Data Analytics, Large Databases, Google Data Studio, data vis",1 day ago,https://www.naukri.com/job-listings-data-analyst-tele-infotech-pimpri-chinchwad-pune-0-to-2-years-020426035841
Data Analyst,Data Analyst (Walk in Interview),Wyzmindz Solutions,0-1 yrs,Bengaluru,"Power Bi, Data Analytics, Bi Tools, Tableau, Bi, Interviewing, Data analysis, Analytics",6 days ago,https://www.naukri.com/job-listings-data-analyst-walk-in-interview-wyzmindz-solutions-bengaluru-0-to-1-years-270326011326
