search_role,job_title,company_name,experience,location,skills,posted_date,job_link
Data Scientist,Data Scientist,ABB,2-7 Yrs,Bengaluru,"data scientist, time series analysis, storytelling, python, ai, power bi, business analysis, human resources",1 day ago,https://www.naukri.com/job-listings-data-scientist-abb-india-limited-bengaluru-2-to-7-years-010426915284
Data Scientist,Data Scientist,Cisco,7-10 Yrs,Bengaluru,"Computer science, Data analysis, data science, Supply chain operations, data visualization, Customer engagement, cisco, Analytics",6 days ago,https://www.naukri.com/job-listings-data-scientist-cisco-bengaluru-7-to-10-years-270326504991
Data Scientist,Data Science Lead,,,,,,
Data Scientist,Data Scientist,Infosys,5-10 Yrs,"Hybrid - Hyderabad, Chennai, Bengaluru","NLP, Generative AI, Computer Vision, Computer, Artificial Intelligence, Data, Vision, Natural language processing",3 days ago,https://www.naukri.com/job-listings-data-scientist-infosys-hyderabad-chennai-bengaluru-5-to-10-years-300326019242
Data Scientist,Walk-in || Data Scientist,Tata Consultancy Services,,,"Machine Learning, Python, Artificial Intelligence, llm, Ml, Machine, Intelligence, Data",6 days ago,https://www.naukri.com/job-listings-data-scientist-tata-consultancy-services-bhubaneswar-4-to-9-years-280326006567
Data Scientist,Data Scientist,Mercedes Benz,3-6 Yrs,Bengaluru,"data scientist, kubernetes, python, scala, data mining, aks, databricks, machine learning",1 day ago,https://www.naukri.com/job-listings-data-scientist-mercedes-benz-research-and-development-india-pvt-ltd-bengaluru-3-to-6-years-020426925684
Data Scientist,Data Scientist,EY,7-10 Yrs,"Hybrid - Kochi, Bengaluru, Thiruvananthapuram","python, Machine Learning, sql, Statistical Modeling, data scientist, Tensorflow, Azure, Generative Ai",1 week ago,https://www.naukri.com/job-listings-data-scientist-ey-kochi-bengaluru-thiruvananthapuram-7-to-10-years-041225020462
Data Scientist,Data Scientist,Genpact,5-10 Yrs,"Hybrid - Hyderabad, Gurugram, Bengaluru","Artificial Intelligence, Machine Learning, Python, Intelligence, Data, Machine",1 day ago,https://www.naukri.com/job-listings-data-scientist-genpact-hyderabad-gurugram-bengaluru-5-to-10-years-010426025403
Data Scientist,Data Scientist,EY,2-6 Yrs,"Delhi / NCR, Mumbai (All Areas)","LLM, Agentic Ai, Langgraph, Function Calling, AWS, Semantic Kernel, Langchain, AI Agents",1 week ago,https://www.naukri.com/job-listings-data-scientist-ey-delhi-ncr-mumbai-all-areas-2-to-6-years-260326000141
Data Scientist,Data Scientist,PayU,0-3 Yrs,Gurugram,"Usage, Statistical analysis, Analytical, Focus, Programming, Data mining, Business understanding, Analytics",3 days ago,https://www.naukri.com/job-listings-data-scientist-payu-india-gurugram-0-to-3-years-300326502718
Data Scientist,Data Scientist,Gartner for HR,3-8 Yrs,Gurugram,"Computer science, Development Manager, Coding, Analytical, Data collection, Workflow, Information retrieval, Medical insurance",1 day ago,https://www.naukri.com/job-listings-data-scientist-gartner-for-hr-gurugram-3-to-8-years-010426504849
Data Scientist,Data Scientist,EY,9-14 Yrs,Hyderabad,"Data Science, Machine Learning Algorithms, Python, Pytorch, Data Quality, DevOps, Data Modeling, Data Architecture",2 days ago,https://www.naukri.com/job-listings-data-scientist-ey-hyderabad-9-to-14-years-310326033769
Data Scientist,Data Scientist,CGI,7-12 Yrs,Pune,"Azure ML, scoring, Microsoft Fabric, forecasting, and insights, Azure devops, ML, Data",1 week ago,https://www.naukri.com/job-listings-data-scientist-cgi-pune-7-to-12-years-230326033774
Data Scientist,Data Scientist,Maruti True Value,4-9 Yrs,Gurugram,"Data analysis, Simulation, Time series analysis, Signal processing, vehicle dynamics, Telematics, Data analytics, Automotive",1 day ago,https://www.naukri.com/job-listings-data-scientist-maruti-true-value-gurugram-4-to-9-years-010426504110
Data Scientist,Data Scientist,Paytm,1-3 Yrs,Gurugram,"data scientist, algorithms, python, scala, data processing, machine learning, cloud platform, cloud",2 days ago,https://www.naukri.com/job-listings-data-scientist-one97-communications-limited-gurugram-1-to-3-years-310326918257
